,Buses,Production + EoL,Use Phase,Co2 per km ,12m?,co2,co2 per km
0,Diesel Bus 12m,14.861550049562577,136.4956760002967,151.35722604985926,True,151.35722604985926,15.135722604985926
1,Diesel Bus 18m,10.737500065189902,121.73576435463254,132.47326441982244,False,132.47326441982244,6.623663220991122
2,ASSURED Bus 12m,22.486074492342816,74.23665009673495,96.72272458907776,True,96.72272458907776,9.672272458907775
3,ASSURED Bus 18m,16.40709685962342,64.2750138287922,80.68211068841562,False,80.68211068841562,4.034105534420781
