,Buses,Production + EoL,Use Phase,Co2 per km ,12m?,co2,co2 per km
0,Diesel Bus 12m,16.152048793362127,137.24255575489062,153.39460454825274,True,153.39460454825274,15.339460454825275
1,Diesel Bus 18m,11.669888026032725,122.10920423192952,133.77909225796225,False,133.77909225796225,6.6889546128981126
2,ASSURED Bus 12m,24.438646787196113,88.0641371717288,112.50278395892491,True,112.50278395892491,11.25027839589249
3,ASSURED Bus 18m,17.831802749394644,80.17395111374609,98.00575386314073,False,98.00575386314073,4.900287693157036
