,Buses,Production + EoL,Use Phase,Co2 per km ,12m?,co2,co2 per km
0,Diesel Bus 12m,11.67263445188316,134.65008222856721,146.32271668045038,True,146.32271668045038,14.632271668045039
1,ASSURED Bus 12m,17.661127334066826,19.220631337852105,36.88175867191893,True,36.88175867191893,3.688175867191893
